,Address,catid,Description,Name,Website,Telephone,Category,catId,lat,lng
0,"Bala Lake Foreshore, Bala, Gwynedd, LL23 7SR, Wales",Index-101321143398%252c,"We have some of the most qualified and experienced coaches in Britain, with all the latest equipment to make your time with us both enjoyable and unforgettable. Great people, great location, great kit.Come to us to develop your skills and qualifications, or use our facilities for the sheer fun of it. Try a half day taster course in any activity, or take a fully accredited training course. You can even mix and match activities. We specialise in small groups for the best coaching experience, whether you’re an absolute beginner or an expert seeking to extend yourself to the limit.Windsurfing - Windsurfing on Bala Lake is continually growing in popularity - our windsurfing courses allow you to use the newest equipment in a safe environment. The centre is a HYFLY demonstration centre so you will be able to use the equipment made available by HYFLY. Our instructors will give you the right level of tuition to get you on the board and to experience this great sport confidently. For those who have had a go before, we will be able to help you improve your existing skills and develop new ones. Our staff are always keen to give advice both on and off the water and are usually available for one-to-one coaching if required. Our equipment is available for hire to the more experienced sailor.Kayaking/Canoeing - Beginner or expert can enjoy the ideal location of Bala Watersports for an introduction to the sport on Bala Lake or experience the challenging rapids of the local world-class white-water course. Our resident coaches cover the entire spectrum of the British Canoe Association syllabus.Sailing - Sailing courses are run accourding to the royal yachting association guidlines. Bookings can be made over the phone or via our online booking facility.Branwen trips, why not explore the lake and use the steam train to get back to Bala or sail back.Rock Climbing/Abseiling - North Wales offers some of the best climbing in the country and you will be able to experience some of the spectacular locations. Under the close supervision of our instructors you can enjoy some great challenges and the personal achievement of getting to the top.",Bala Adventure & Watersports,http://www.balawatersports.com,+44 01678 521059,"Abseiling, Climbing & Mountaineering",0,52.9087114,-3.6021991
1,"Bryn Du Mountain Centre, Ty Du Road, Llanberis, Gwynedd, LL55 4HE, Wales",Index-101321143398%252c,"Boulder Adventures is based at the Bryn Du Mountain Centre and the Padarn Water Sports Centre in Llanberis, Snowdonia. The residential centre is a spacious Victorian house in its own gardens. The Water Sports Centre is located on the shores of Llyn Padarn accessed from the Welsh Slate Museum Car Park. We offer a variety of specialist courses and multi-activity trips, as well as courses tailored to your groups specific demands, placing particular emphasis on canoeing, kayaking, climbing, abseiling, gorge scrambling and walking. Courses can last from half a day to a week although the memories will be for longer.   Our experienced and fully trained staff ensure that your stay at Boulder Adventures is as safe and enjoyable as possible, allowing you to concentrate on the activities that brought you to the centre in the first place. For further details visit: www.boulderadventures.co.uk or www.adventuresinwales.co.uk",Boulder Adventures Ltd,,+44 01286 870556,"Abseiling, Climbing & Mountaineering",0,53.1203488,-4.1293163
2,"Devil's Gorge, Loggerheads Country Park, Mold, Gwynedd, CH7 5LH, Wales",Index-101321143398%252c,"We can give you a thrill you won't forget - abseiling into the 120ft Devil's Gorge. Beginners, families, corporate entertainment and charity abseils.",Abseil UK,http://www.abseiluk.com,+44 0800 448 8077,"Abseiling, Climbing & Mountaineering",0,53.2081072,-3.1340718
3,"Aberdyfi, Gwynedd, Aberdovey, Gwynedd, LL35 0RA, Wales",Index-101321143398%252c,"Multi activity courses for individuals of one, two and three weeks in length. Course members join groups of 10-12 people under the guidance of a group instructor to have a highly memorable adventure. Specifically designed courses, which meet current educational initiatives, and curriculum objectives. They include A level PE: Vocational A levels; Raising Achievement; Key Skills, and adventure and challenge.",Outward Bound Wales Aberdovey,http://www.outwardbound-uk.org,+44 01654 767464,"Abseiling, Climbing & Mountaineering",0,52.5446305,-4.0518187
4,"Bryn-y-moel, Llanbedr, Gwynedd, LL45 2HU, Wales",Index-101321143398%252c,"The Ranch Outdoor Discovery Centre exists to offer young people opportunities for exciting residential experiences all year round in the heart of Snowdonia - with an emphasis on personal discovery, education, safety and fun!",The Ranch Outdoor Discovery Centre,http://www.actioncentres.co.uk,+44 01341 241358,"Abseiling, Climbing & Mountaineering",0,52.8303738,-4.0978627
5,"Llwyngwril, Gwynedd, Barmouth, Gwynedd, LL37 2QB, Wales",Index-101321143398%252c,"Ty Gwyn Outdoor Centres offers a wide range of residential and non-residential outdoor activities courses for all. We operate a range of activities and include canoeing, sailing, kayaking, climbing, abseiling, sailing, raft building, mountain walking, orienteering and mountain biking.In addition, we are able to offer skills based courses in mountain navigation, expeditioning, rock climbing and the Single Pitch Award, OTC mountain bike courses, sailing kayaking and canoeing.During the holidays we have activity days on offer to come and try out a sport, or if a group would like to book in for a day of fun, this is also possible.If you wish to have a group residential course, then Ty Gwyn can comfortably accommodate 30. All food can be provided and is good quality and freshly cooked.",Canolfan Ty Gwyn,,,"Abseiling, Climbing & Mountaineering",0,52.662732,-4.0867612
6,"Namaste, Morfa Crescent, Tywyn, Gwynedd, LL36 9AU, Wales",Index-101321143398%252c,"AC ADVENTURES is a one man outdoor activtity provider based on the Southern edge of the Snowdonia National Park. Offering a full range of outdoor pursuits from walking, climbing to underground ( slate mine exploration) to suit all ages and abilities.With the sea 100 metres to the West and Cadair Idris to the East the whole area is ideally suited for the novice to expert alike. Holding the under 18's AALA Licence and a Fellow of the Royal Geographical Society, Ross is a well travelled mountaineer and loves to talk about his experiences as well as providing safe and challenging pursuits.  Advice and planning for overseas trips can be given.",AC Adventures,http://www.outdooradventures.co.uk,+44 01654 711389,"Abseiling, Climbing & Mountaineering",0,52.5916344,-4.1035036
7,"Arthog, Gwynedd, Fairbourne, Gwynedd, LL39 1BX, Wales",Index-101321143398%252c,"Arthog Outdoor Education Centre is a residential outdoor education centre in the Snowdonia National Park, North Wales, UK. It is owned by Telford & Wrekin Council and has a national reputation for excellent provision of outdoor adventure activities and field studies. Although term-time use is primarily by Telford and Shropshire schools, our facilities and services are available to other client groups during weekends, halfterms and holiday times...Activities Include:Centre orienteering ,Mountain Biking, White Water Rafting, Mountain Walking , Rock Climbing, Mine Exploration, Kayaking , Open Canoeing, Wave Skiing, Orienteering, Initiative Tasks, The Ropes Course ,Adventure Activities",Arthog Outdoor Education Centre,http://www.arthog.co.uk,+44 01341 250455,"Abseiling, Climbing & Mountaineering",0,52.70763,-4.031431
8,"3 - 4 Bath Place, Aberdyfi, Aberdovey, Gwynedd, LL35 0LN, Wales",Index-101321143398%252c,"Nothing beats the thrill of mountain-biking down some of the UK's most famous mountain bike trails. And virtually nothing beats canyoning down some of Wales best kept secret rivers. Very little beats a multi-activity day of climbing, walking, canoeing, surfing and raft-building. Top this off by camping on a Welsh cliff top watching the sun going down over the spectacular Cardigan Bay whilst enjoying a barbecue.Adventure Camps is one of the UK's leading specialist outdoor centres with some of the finest outdoor terrain on its doorstep in the magnificent Snowdonia National Park, Wales. Adventure Camps; Safety, Adventure, Enjoyment, Learning, Challenge… Adventure Camps provide a range of quality, value for money courses such as; Adventure Weekends: Get away from it all and reinvigorate yourself and your group of friends; a great way to celebrate events of all types.  Orgainising a stag/hen weekend or day? Call our office on (01654) 767024 or 07960584861 for competitive prices. We can help you with accommodation and a great programme. Adventure Family: Get out and discover the great outdoors, spend time with your family, learn new skills and challenge yourselves with adventurous activities. Adventure Weeks: Designed to promote teamwork and leadership skills. Develops a healthier lifestyle and improves fitness, ideal for youth groups, cadet groups, scouts, guides and explorers.Adventure Business: Corporate adventure packages for fun, team development and conferencing. Adventure Schools: Course’s designed for you to meet your aims and objectives. The use of the outdoors makes a major contribution to physical and environmental education and enhances many other curriculum areas. It contributes to personal growth and social awareness and develops skills for life and the working world.",Adventure Camps,http://www.adventurecamps.co.uk,+44 01654 767024,"Abseiling, Climbing & Mountaineering",0,52.5442508,-4.040504
9,"Pentre Bach, Waunfawr, Caernarfon, Gwynedd, LL54 7AJ, Wales",Index-101321143398%252c,"Looking for a new experience or want to broaden your current knowledge? We can help provide you with that opportunity, so whether you wish to be guided around the hills, try kayaking, climbing or gorge scrambling we're happy to oblige!",Bach Ventures Ltd,http://bachventures.co.uk,+44 01286 650643,"Abseiling, Climbing & Mountaineering",0,53.0984872,-4.1960755
